Property reference number,Address,Postcode,Latitude,Longitude,Ratepayer,Billing Address,Rateable value,VOA code,VOA Description,Liability start date,Reliefs Granted,Discretionary Relief %,Discretionary Relief St Date,Mandatory Relief %,Mandatory Relief Start Date,Exemption_Granted,Exemption Start Date,Empty Rates,Empty Rates Start Date,Full Sbr,Buffer Sbr,Lower Multiplier,Occupied,Empty from
64392702,"Rock Inn, Holywell Green, Halifax, HX4 9BS",HX4 9BS,53.67556,-1.85809,,,38000,H026,Hotel And Premises,2020-02-01,SBR DRR DBR,100,2020-04-01,,,,,,,,,Y,Y,
64392703,"Broad Carr House, Broad Carr Lane, Holywell Green, Halifax              HX4 9BS",HX4 9BS,53.67556,-1.85809,,,3700,O027,Offices and Premises,2009-04-01,SBR,,,,,,,,,,,Y,Y,
64400015,"15 Broad Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,Kashmiri Aroma (Halifax) Llp,"27 Grasleigh Avenue, Bradford, BD15 9AR",41500,R034,Restaurant and Premises,2014-10-01,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
64400020,"20 Broad Street, Halifax, HX1 1WD",HX1 1WD,53.72505,-1.86009,Whitecross Dental Care Ltd,"Europa House, Europa Trading Estate, Stoneclough Road, Kearsley, Manchester, M26 1GG",75500,R034,Restaurant and Premises,2019-05-30,,,,,,,,Y,05/30/19,,,,N,2019-05-30
64400700,"Broad Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,Mecca Bingo Ltd,"Tor, Saint-Cloud Way, Maidenhead, Berkshire, SL6 8BN",49000,B018,Bingo Hall And Premises,1990-04-01,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
64400701,"6th Floor, 60 Crown Street, Halifax, HX1 1JB",HX1 1JB,53.72347,-1.86235,Trustees Of B Holmes Discretionary Settlement,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",17250,O028,Office and Premises,2019-04-08,ER,,,,,,,Y,07/08/2019,,,,N,2019-07-08
64400718,"35 Broad Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,,,7200,S167,Shop and Premises,2020-02-25,SBR,,,,,,,,,Y,,,Y,
64400720,"37/39 Broad Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,Thai Halifax Limited,,9700,R034,Restaurant and Premises,2015-05-08,SBR,,,,,,,,,Y,,,Y,
64400725,"Car Parking Space No 18, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-15,EX,,,,,Rateable Value below threshold,2018-05-15,,,,,,N,2018-05-15
64400726,"Car Parking Space No 19, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-15,EX,,,,,Rateable Value below threshold,2018-05-15,,,,,,N,2018-05-15
